place_id,lat,lon
BikePoints_94,51.49506,-0.085814
BikePoints_472,51.529453,-0.027616
BikePoints_684,51.454754,-0.195197
BikePoints_695,51.536385,-0.102757
BikePoints_131,51.533005,-0.136792
BikePoints_544,51.526154,-0.102208
BikePoints_314,51.50089,-0.083159
BikePoints_362,51.536263,-0.133952
BikePoints_563,51.499287,-0.009152
BikePoints_737,51.47993,-0.194116
BikePoints_108,51.498123,-0.132102
BikePoints_196,51.50369,-0.098497
BikePoints_11,51.523952,-0.122502
BikePoints_743,51.460793,-0.212607
BikePoints_246,51.522854,-0.099994
BikePoints_239,51.524437,-0.138019
BikePoints_26,51.52728,-0.118295
BikePoints_41,51.520954,-0.083493
BikePoints_487,51.51181,-0.025626
BikePoints_731,51.477276,-0.18921
BikePoints_269,51.500824,-0.08974
BikePoints_265,51.515953,-0.169249
BikePoints_58,51.524525,-0.079248
BikePoints_138,51.512276,-0.157436
BikePoints_381,51.51953,-0.135777
BikePoints_300,51.505013,-0.17306
BikePoints_306,51.51816,-0.135025
BikePoints_62,51.490757,-0.106323
BikePoints_625,51.47762,-0.149551
BikePoints_662,51.484985,-0.167919
BikePoints_788,51.54491,-0.020542
BikePoints_102,51.513405,-0.076793
BikePoints_816,51.54653,-0.020597
BikePoints_794,51.461376,-0.147804
BikePoints_83,51.50964,-0.13151
BikePoints_398,51.50232,-0.200742
BikePoints_485,51.531128,-0.048017
BikePoints_717,51.536587,-0.075885
BikePoints_280,51.49008,-0.162418
BikePoints_187,51.492477,-0.178433
BikePoints_524,51.511654,-0.179668
BikePoints_344,51.528248,-0.101026
BikePoints_78,51.524868,-0.099489
BikePoints_454,51.48768,-0.021582
BikePoints_784,51.546326,-0.009935
BikePoints_580,51.48693,-0.102996
BikePoints_145,51.500744,-0.202759
BikePoints_496,51.52512,-0.015578
BikePoints_742,51.515106,-0.208565
BikePoints_191,51.503117,-0.15352
BikePoints_838,51.518093,-0.091401
BikePoints_307,51.509907,-0.187842
BikePoints_329,51.535892,-0.160854
BikePoints_368,51.50024,-0.15934
BikePoints_847,51.488068,-0.057774
BikePoints_447,51.49338,-0.007542
BikePoints_351,51.529423,-0.097122
BikePoints_581,51.51917,-0.147983
BikePoints_82,51.514275,-0.111257
BikePoints_798,51.530197,-0.122299
BikePoints_73,51.525616,-0.088532
BikePoints_807,51.5212,-0.208888
BikePoints_388,51.5107,-0.121723
BikePoints_124,51.496544,-0.150905
BikePoints_505,51.520397,-0.026768
BikePoints_215,51.51907,-0.088285
BikePoints_404,51.50204,-0.1844
BikePoints_674,51.535465,-0.116191
BikePoints_808,51.464996,-0.130908
BikePoints_655,51.482944,-0.219346
BikePoints_482,51.49595,-0.173689
BikePoints_722,51.524582,-0.058631
BikePoints_744,51.467453,-0.172293
BikePoints_289,51.50923,-0.151296
BikePoints_377,51.505356,-0.113656
BikePoints_568,51.51616,-0.18697
BikePoints_366,51.510918,-0.151126
BikePoints_578,51.527607,-0.057133
BikePoints_694,51.460716,-0.216526
BikePoints_326,51.53266,-0.099981
BikePoints_448,51.50623,-0.02296
BikePoints_479,51.527153,-0.058005
BikePoints_238,51.523354,-0.175116
BikePoints_603,51.47784,-0.116493
BikePoints_240,51.50546,-0.105692
BikePoints_760,51.524307,-0.201234
BikePoints_192,51.512516,-0.133201
BikePoints_375,51.501945,-0.194392
BikePoints_258,51.50143,-0.178656
BikePoints_849,51.495598,-0.078893
BikePoints_295,51.500298,-0.092762
BikePoints_624,51.47292,-0.132102
BikePoints_266,51.501026,-0.180246
BikePoints_553,51.53568,-0.062546
BikePoints_89,51.52625,-0.123509
BikePoints_639,51.48357,-0.202038
BikePoints_25,51.52883,-0.13225
BikePoints_12,51.52168,-0.130431
BikePoints_712,51.51854,-0.034903
BikePoints_681,51.473038,-0.214749
BikePoints_613,51.50404,-0.2174
BikePoints_708,51.46161,-0.216145
BikePoints_739,51.481766,-0.185273
BikePoints_851,51.49222,-0.062513
BikePoints_436,51.51824,-0.11655
BikePoints_503,51.520893,-0.051394
BikePoints_173,51.50486,-0.113001
BikePoints_653,51.470848,-0.170703
BikePoints_676,51.47787,-0.126874
BikePoints_481,51.48713,-0.009001
BikePoints_727,51.475697,-0.205876
BikePoints_513,51.51422,-0.055656
BikePoints_151,51.512135,-0.201554
BikePoints_337,51.511086,-0.197524
BikePoints_746,51.479572,-0.179038
BikePoints_2,51.499607,-0.197574
BikePoints_592,51.5171,-0.18377
BikePoints_423,51.49456,-0.153933
BikePoints_101,51.511555,-0.09294
BikePoints_749,51.53933,-0.074284
BikePoints_509,51.51784,-0.090075
BikePoints_213,51.50274,-0.149569
BikePoints_343,51.536922,-0.150181
BikePoints_709,51.46321,-0.21555
BikePoints_68,51.520596,-0.116688
BikePoints_95,51.52084,-0.09734
BikePoints_141,51.51531,-0.147203
BikePoints_21,51.539833,-0.062806
BikePoints_451,51.50472,-0.063531
BikePoints_333,51.508606,-0.193764
BikePoints_631,51.4795,-0.14177
BikePoints_243,51.490963,-0.139625
BikePoints_501,51.52256,-0.054883
BikePoints_118,51.495827,-0.135478
BikePoints_125,51.500694,-0.094524
BikePoints_19,51.52505,-0.131161
BikePoints_690,51.470474,-0.15213
BikePoints_719,51.536423,-0.054162
